# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   83       3.312727278132e-10       7.785076067157e-14      -1.930336279725e-12       0.000000000000e+00       2.110662812865e-11      -1.105728474044e-12      -9.190197233165e-15 
   84       3.354687701143e-10       8.015229452257e-14      -2.019450856846e-12       0.000000000000e+00       2.046017146855e-11      -1.045989014836e-12      -9.092524444346e-15 
   85       3.396992891037e-10       8.246476666378e-14      -2.109763222013e-12       0.000000000000e+00       1.983782977367e-11      -9.890733402247e-13      -9.003119564738e-15 
   86       3.439650431600e-10       8.478633142142e-14      -2.201215848502e-12       0.000000000000e+00       1.923952106283e-11      -9.349390865215e-13      -8.921365451913e-15 
   87       3.482665674394e-10       8.711509408525e-14      -2.293749346706e-12       0.000000000000e+00       1.866488620378e-11      -8.835140995201e-13      -8.846509928339e-15 
   88       3.526041618125e-10       8.944911099305e-14      -2.387302475913e-12       0.000000000000e+00       1.811327750251e-11      -8.346952661626e-13      -8.777660918571e-15 
   89       3.569778788008e-10       9.178638961498e-14      -2.481812156088e-12       0.000000000000e+00       1.758374729265e-11      -7.883473462068e-13      -8.713781586431e-15 
   90       3.613875115130e-10       9.412488863808e-14      -2.577213479653e-12       0.000000000000e+00       1.707503652485e-11      -7.443018038938e-13      -8.653685472196e-15 
   91       3.658325815821e-10       9.646251805069e-14      -2.673439723268e-12       0.000000000000e+00       1.658556335615e-11      -7.023556396149e-13      -8.596031629781e-15 
   92       3.703123271012e-10       9.879713922687e-14      -2.770422359613e-12       0.000000000000e+00       1.611341173933e-11      -6.622702215792e-13      -8.539319763922e-15 
   93       3.748259637529e-10       1.011265961440e-13      -2.868091539953e-12       0.000000000000e+00       1.565677834966e-11      -6.238227274381e-13      -8.482175483219e-15 
   94       3.793735393229e-10       1.034488142228e-13      -2.966377599296e-12       0.000000000000e+00       1.521541504004e-11      -5.869718570004e-13      -8.424265697282e-15 
   95       3.839551859988e-10       1.057617165783e-13      -3.065209800444e-12       0.000000000000e+00       1.478938324354e-11      -5.517149985598e-13      -8.365512545135e-15 
   96       3.885708504276e-10       1.080631947159e-13      -3.164515901377e-12       0.000000000000e+00       1.437860991584e-11      -5.180373994591e-13      -8.305814677896e-15 
   97       3.932202854019e-10       1.103511090432e-13      -3.264222173495e-12       0.000000000000e+00       1.398288241607e-11      -4.859117199251e-13      -8.245046378343e-15 
   98       3.979030415470e-10       1.126232893821e-13      -3.364253419863e-12       0.000000000000e+00       1.360184338778e-11      -4.552975869046e-13      -8.183056680463e-15 
   99       4.026184590070e-10       1.148775354803e-13      -3.464532993449e-12       0.000000000000e+00       1.323498563977e-11      -4.261411478997e-13      -8.119668489014e-15 
  100       4.073656591317e-10       1.171116175231e-13      -3.564982815372e-12       0.000000000000e+00       1.288164702702e-11      -3.983746248034e-13      -8.054677699081e-15 
  101       4.121435361633e-10       1.193232766455e-13      -3.665523393143e-12       0.000000000000e+00       1.254100533157e-11      -3.719158677352e-13      -7.987852315632e-15 
  102       4.169507489227e-10       1.215102254435e-13      -3.766073838907e-12       0.000000000000e+00       1.221207314341e-11      -3.466679088764e-13      -7.918931573080e-15 
  103       4.217857124965e-10       1.236701484864e-13      -3.866551887690e-12       0.000000000000e+00       1.189369274141e-11      -3.225185163061e-13      -7.847625054834e-15 
  104       4.266469198654e-10       1.258007603280e-13      -3.966874949063e-12       0.000000000000e+00       1.158479494422e-11      -2.993632723058e-13      -7.773712881268e-15 
