# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  129       5.550050741580e-10       1.644654955516e-13      -6.170425315503e-12       8.460876839568e-16       6.344283345299e-12       3.463269058666e-14      -5.814601981856e-15 
  130       5.602470897675e-10       1.652007278608e-13      -6.237301339174e-12       8.598382161511e-16       6.205270699213e-12       4.141546834613e-14      -5.739685367671e-15 
  131       5.654871053108e-10       1.658639266894e-13      -6.301806536573e-12       8.737293882081e-16       6.069904758029e-12       4.788128640402e-14      -5.664181197839e-15 
  132       5.707240639112e-10       1.664545066761e-13      -6.363867076858e-12       8.877623604878e-16       5.938180415579e-12       5.403652124238e-14      -5.588216063816e-15 
  133       5.759568429977e-10       1.669719602891e-13      -6.423409892955e-12       9.019383079789e-16       5.810076102272e-12       5.988887100092e-14      -5.511919846996e-15 
  134       5.811842526096e-10       1.674158597567e-13      -6.480362724883e-12       9.162584203103e-16       5.685553342656e-12       6.544738701551e-14      -5.435425731012e-15 
  135       5.864050337014e-10       1.677858589972e-13      -6.534654163085e-12       9.307239017611e-16       5.564556312985e-12       7.072250535660e-14      -5.358870214039e-15 
  136       5.916178564479e-10       1.680816955489e-13      -6.586213691751e-12       9.453359712717e-16       5.447011398784e-12       7.572607836779e-14      -5.282393121084e-15 
  137       5.968213185493e-10       1.683031925006e-13      -6.634971732147e-12       9.600958624543e-16       5.332826752408e-12       8.047140620425e-14      -5.206137616294e-15 
  138       6.020139435359e-10       1.684502604213e-13      -6.680859685940e-12       9.750048236036e-16       5.221891850611e-12       8.497326837125e-14      -5.130250215253e-15 
  139       6.071941790730e-10       1.685228992906e-13      -6.723809978525e-12       9.900641177077e-16       5.114077052104e-12       8.924795526264e-14      -5.054880797277e-15 
  140       6.123603952663e-10       1.685212004288e-13      -6.763756102354e-12       1.005275022458e-15       5.009233155127e-12       9.331329969932e-14      -4.980182617719e-15 
  141       6.175108829664e-10       1.684453484270e-13      -6.800632660257e-12       1.020638830262e-15       4.907190955007e-12       9.718870846772e-14      -4.906312320265e-15 
  142       6.226438520741e-10       1.682956230771e-13      -6.834375408777e-12       1.036156848251e-15       4.807760801723e-12       1.008951938583e-13      -4.833429949234e-15 
  143       6.277574298450e-10       1.680724013022e-13      -6.864921301488e-12       1.051830398292e-15       4.710732157472e-12       1.044554052042e-13      -4.761698961877e-15 
  144       6.328498042097e-10       1.677761686450e-13      -6.892209092438e-12       1.067660724546e-15       4.615917344667e-12       1.078891613219e-13      -4.691250923956e-15 
  145       6.379196732359e-10       1.674075509356e-13      -6.916181122040e-12       1.083648705840e-15       4.523288584876e-12       1.111994848587e-13      -4.622075647805e-15 
  146       6.429658369613e-10       1.669672894295e-13      -6.936781790423e-12       1.099795114825e-15       4.432853691931e-12       1.143852446627e-13      -4.554120196308e-15 
  147       6.479870555035e-10       1.664562334968e-13      -6.953957059269e-12       1.116100707370e-15       4.344612907838e-12       1.174455368795e-13      -4.487323038085e-15 
  148       6.529820481982e-10       1.658753426075e-13      -6.967654498358e-12       1.132566222040e-15       4.258558714310e-12       1.203796906344e-13      -4.421613856813e-15 
  149       6.579494927382e-10       1.652256883159e-13      -6.977823332112e-12       1.149192379574e-15       4.174675644298e-12       1.231872737134e-13      -4.356913360563e-15 
  150       6.628880243109e-10       1.645084562467e-13      -6.984414486144e-12       1.165979882367e-15       4.092940093523e-12       1.258680982450e-13      -4.293133091124e-15 
  151       6.677962347374e-10       1.637249480789e-13      -6.987380633800e-12       1.182929413948e-15       4.013320132006e-12       1.284222263821e-13      -4.230175233335e-15 
  152       6.726726716107e-10       1.628765835321e-13      -6.986676242705e-12       1.200041638459e-15       3.935775315605e-12       1.308499759832e-13      -4.167932424417e-15 
  153       6.775158374339e-10       1.619649023502e-13      -6.982257621313e-12       1.217317200134e-15       3.860256497541e-12       1.331519262941e-13      -4.106287563297e-15 
  154       6.823241887585e-10       1.609915662878e-13      -6.974082965448e-12       1.234756722781e-15       3.786705639935e-12       1.353289236296e-13      -4.045113619941e-15 
  155       6.870961353232e-10       1.599583610943e-13      -6.962112404851e-12       1.252360809257e-15       3.715055625338e-12       1.373820870553e-13      -3.984273444685e-15 
  156       6.918300391919e-10       1.588671984993e-13      -6.946308049726e-12       1.270130040953e-15       3.645230068261e-12       1.393128140688e-13      -3.923619577562e-15 
