# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.664864050675e-02       8.927975364386e+03 
       8.973216211099e-02       8.345476971653e+03 
       9.284265232519e-02       7.809539334389e+03 
       9.597005225540e-02       7.333227623357e+03 
       9.910792646313e-02       6.923715557820e+03 
       1.001428571429e-01       6.803737286058e+03 
       1.022522405909e-01       6.581699506522e+03 
       1.054004972388e-01       6.302716888991e+03 
       1.085511623263e-01       6.078841611048e+03 
       1.117032978721e-01       5.899037180583e+03 
       1.148563319082e-01       5.750871557408e+03 
       1.180099161535e-01       5.621325531411e+03 
       1.211638386505e-01       5.498217430794e+03 
       1.243179703885e-01       5.371083345417e+03 
       1.274722327812e-01       5.232025937924e+03 
       1.306265778845e-01       5.076341097008e+03 
       1.337809763758e-01       4.902645535765e+03 
       1.369354102519e-01       4.712691632910e+03 
       1.400898683964e-01       4.510737228955e+03 
       1.432443438866e-01       4.302689150389e+03 
       1.463988323591e-01       4.095204613300e+03 
       1.495533310161e-01       3.894816656207e+03 
       1.527078380218e-01       3.707202316611e+03 
       1.558623521345e-01       3.536720847689e+03 
       1.590168724829e-01       3.386080914543e+03 
       1.621713984292e-01       3.256311555580e+03 
       1.653259294853e-01       3.146865234666e+03 
       1.684804652616e-01       3.055846062313e+03 
       1.716350054344e-01       2.980327295541e+03 
       1.747895497264e-01       2.916684958718e+03 
       1.779440978943e-01       2.861057077881e+03 
       1.810986497199e-01       2.810237584827e+03 
       1.842532050054e-01       2.759667805473e+03 
       1.874077635697e-01       2.706264194075e+03 
       1.905623252454e-01       2.647827421012e+03 
       1.937168898775e-01       2.583245346900e+03 
       1.968714573216e-01       2.512460088415e+03 
       2.000260274429e-01       2.436412633005e+03 
       2.031806001154e-01       2.356693878360e+03 
       2.063351752208e-01       2.275333748430e+03 
       2.094897526483e-01       2.194424124459e+03 
       2.126443322938e-01       2.115986050087e+03 
       2.157989140591e-01       2.041723716380e+03 
       2.189534978519e-01       1.972942736936e+03 
       2.221080835853e-01       1.910542101077e+03 
       2.252626711772e-01       1.854927687477e+03 
       2.284172605499e-01       1.806040453263e+03 
       2.315718516302e-01       1.763381530130e+03 
       2.347264443489e-01       1.726073808956e+03 
       2.378810386403e-01       1.692985025082e+03 
       2.410356344422e-01       1.662819051359e+03 
       2.441902316958e-01       1.634296333551e+03 
       2.473448303451e-01       1.606240361916e+03 
       2.504994303370e-01       1.577684277842e+03 
       2.536540316213e-01       1.547929535104e+03 
       2.568086341499e-01       1.516537155942e+03 
       2.599632378773e-01       1.483389195358e+03 
       2.631178427602e-01       1.448613050251e+03 
       2.662724487571e-01       1.412593002849e+03 
       2.694270558288e-01       1.375894857275e+03 
       2.725816639377e-01       1.339201177350e+03 
       2.757362730480e-01       1.303227109545e+03 
       2.788908831256e-01       1.268614416003e+03 
       2.820454941378e-01       1.235883870805e+03 
       2.852001060534e-01       1.205384896459e+03 
       2.883547188426e-01       1.177274855618e+03 
       2.915093324769e-01       1.151550842930e+03 
       2.946639469291e-01       1.128069296448e+03 
       2.978185621729e-01       1.106573062312e+03 
       3.009731781834e-01       1.086729054659e+03 
       3.041277949366e-01       1.068151818283e+03 
       3.072824124094e-01       1.050431304246e+03 
       3.104370305799e-01       1.033173793646e+03 
       3.135916494269e-01       1.016026566301e+03 
       3.167462689301e-01       9.987124254753e+02 
       3.199008890700e-01       9.810571512640e+02 
       3.230555098277e-01       9.629903028116e+02 
       3.262101311854e-01       9.445411094248e+02 
       3.293647531256e-01       9.258137768188e+02 
       3.325193756318e-01       9.069650571543e+02 
       3.356739986879e-01       8.881862339330e+02 
       3.388286222785e-01       8.696628321456e+02 
       3.419832463887e-01       8.515895370036e+02 
       3.451378710042e-01       8.341393850620e+02 
       3.482924961112e-01       8.174511608680e+02 
       3.514471216964e-01       8.016209376330e+02 
       3.546017477469e-01       7.866887381405e+02 
       3.577563742506e-01       7.726291788200e+02 
       3.609110011953e-01       7.593844703978e+02 
       3.640656285696e-01       7.468386888298e+02 
       3.672202563624e-01       7.348573526050e+02 
       3.703748845629e-01       7.233077187160e+02 
       3.735295131607e-01       7.120698083428e+02 
       3.766841421459e-01       7.010346630761e+02 
       3.798387715087e-01       6.901142027542e+02 
       3.829934012397e-01       6.792411327748e+02 
       3.861480313300e-01       6.683720245447e+02 
       3.893026617707e-01       6.574870069887e+02 
       3.924572925534e-01       6.465965736706e+02 
       3.956119236698e-01       6.357322467114e+02 
       3.987665551120e-01       6.249471716047e+02 
       4.019211868723e-01       6.143022225245e+02 
       4.050758189432e-01       6.038564861391e+02 
       4.082304513175e-01       5.936622248105e+02 
       4.113850839882e-01       5.837555331563e+02 
       4.145397169485e-01       5.741627350600e+02 
       4.176943501919e-01       5.648983342689e+02 
       4.208489837118e-01       5.559680290469e+02 
       4.240036175022e-01       5.473690667853e+02 
       4.271582515569e-01       5.390876341976e+02 
       4.303128858703e-01       5.310998875516e+02 
       4.334675204366e-01       5.233701584484e+02 
       4.366221552503e-01       5.158562231760e+02 
       4.397767903060e-01       5.085152807831e+02 
       4.429314255986e-01       5.013067798978e+02 
       4.460860611231e-01       4.942004130604e+02 
       4.492406968745e-01       4.871751532125e+02 
       4.523953328481e-01       4.802176030493e+02 
       4.555499690392e-01       4.733224582936e+02 
       4.587046054433e-01       4.664881895296e+02 
       4.618592420561e-01       4.597177457555e+02 
       4.650138788733e-01       4.530211364838e+02 
       4.681685158907e-01       4.464131673826e+02 
       4.713231531043e-01       4.399129565882e+02 
       4.744777905103e-01       4.335427286528e+02 
       4.776324281046e-01       4.273213072014e+02 
       4.807870658838e-01       4.212615362283e+02 
       4.839417038440e-01       4.153690127109e+02 
       4.870963419819e-01       4.096405640282e+02 
       4.902509802938e-01       4.040695398712e+02 
       4.934056187766e-01       3.986446424745e+02 
       4.965602574269e-01       3.933550375998e+02 
       4.997148962416e-01       3.881897524236e+02 
       5.028695352175e-01       3.831351049903e+02 
       5.060241743516e-01       3.781786794586e+02 
       5.091788136410e-01       3.733052880687e+02 
       5.123334530828e-01       3.685023886105e+02 
       5.154880926742e-01       3.637602254189e+02 
       5.186427324125e-01       3.590736488246e+02 
       5.217973722949e-01       3.544434776989e+02 
       5.249520123188e-01       3.498727442754e+02 
       5.281066524819e-01       3.453673672051e+02 
       5.312612927814e-01       3.409305874535e+02 
       5.344159332151e-01       3.365674978575e+02 
       5.375705737805e-01       3.322782115189e+02 
       5.407252144753e-01       3.280648210690e+02 
       5.438798552974e-01       3.239297127267e+02 
       5.470344962444e-01       3.198751466496e+02 
       5.501891373142e-01       3.159037247078e+02 
       5.533437785047e-01       3.120159689474e+02 
       5.564984198139e-01       3.082100897588e+02 
       5.596530612397e-01       3.044819291090e+02 
       5.628077027802e-01       3.008252100278e+02 
       5.659623444335e-01       2.972347916101e+02 
       5.691169861976e-01       2.937059214758e+02 
       5.722716280707e-01       2.902353902865e+02 
       5.754262700511e-01       2.868219967748e+02 
       5.785809121369e-01       2.834624093899e+02 
       5.817355543265e-01       2.801547912178e+02 
       5.848901966182e-01       2.768944087055e+02 
       5.880448390103e-01       2.736793159590e+02 
       5.911994815012e-01       2.705063908421e+02 
       5.943541240893e-01       2.673766292167e+02 
       5.975087667732e-01       2.642908891146e+02 
       6.006634095512e-01       2.612527393946e+02 
       6.038180524219e-01       2.582630108666e+02 
       6.069726953838e-01       2.553235047460e+02 
       6.101273384356e-01       2.524327646984e+02 
       6.132819815758e-01       2.495901406262e+02 
       6.164366248031e-01       2.467939649834e+02 
       6.195912681162e-01       2.440443329285e+02 
       6.227459115136e-01       2.413407464427e+02 
       6.259005549943e-01       2.386837980512e+02 
       6.290551985568e-01       2.360721337900e+02 
       6.322098422000e-01       2.335039041535e+02 
       6.353644859227e-01       2.309760946418e+02 
       6.385191297237e-01       2.284855222150e+02 
       6.416737736018e-01       2.260305706299e+02 
       6.448284175559e-01       2.236096127945e+02 
       6.479830615849e-01       2.212223486633e+02 
       6.511377056877e-01       2.188699703930e+02 
       6.542923498632e-01       2.165519007533e+02 
       6.574469941104e-01       2.142672808341e+02 
       6.606016384282e-01       2.120146459415e+02 
       6.637562828157e-01       2.097925763926e+02 
       6.669109272718e-01       2.076008239747e+02 
       6.700655717956e-01       2.054392828294e+02 
       6.732202163861e-01       2.033091263448e+02 
       6.763748610424e-01       2.012110292915e+02 
       6.795295057635e-01       1.991452041874e+02 
       6.826841505487e-01       1.971112180904e+02 
       6.858387953968e-01       1.951067510848e+02 
       6.889934403073e-01       1.931314040458e+02 
       6.921480852790e-01       1.911835991349e+02 
       6.953027303113e-01       1.892635735207e+02 
       6.984573754033e-01       1.873706677863e+02 
       7.016120205542e-01       1.855055212994e+02 
       7.047666657632e-01       1.836677527901e+02 
       7.079213110295e-01       1.818557577053e+02 
       7.110759563523e-01       1.800681949111e+02 
