# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.684804652616e-01       3.030433375977e+03 
       1.716350054344e-01       2.955510272319e+03 
       1.747895497264e-01       2.892367527066e+03 
       1.779440978943e-01       2.837174891538e+03 
       1.810986497199e-01       2.786752686612e+03 
       1.842532050054e-01       2.736580100164e+03 
       1.874077635697e-01       2.683599325171e+03 
       1.905623252454e-01       2.625629456389e+03 
       1.937168898775e-01       2.561567688745e+03 
       1.968714573216e-01       2.491356648471e+03 
       2.000260274429e-01       2.415929478445e+03 
       2.031806001154e-01       2.336863728191e+03 
       2.063351752208e-01       2.256172193328e+03 
       2.094897526483e-01       2.175929045306e+03 
       2.126443322938e-01       2.098138198196e+03 
       2.157989140591e-01       2.024489345350e+03 
       2.189534978519e-01       1.956276915760e+03 
       2.221080835853e-01       1.894392116704e+03 
       2.252626711772e-01       1.839237229268e+03 
       2.284172605499e-01       1.790753559914e+03 
       2.315718516302e-01       1.748446313316e+03 
       2.347264443489e-01       1.711445662243e+03 
       2.378810386403e-01       1.678628828178e+03 
       2.410356344422e-01       1.648710603293e+03 
       2.441902316958e-01       1.620422232620e+03 
       2.473448303451e-01       1.592597141808e+03 
       2.504994303370e-01       1.564276656050e+03 
       2.536540316213e-01       1.534768164787e+03 
       2.568086341499e-01       1.503636426092e+03 
       2.599632378773e-01       1.470764490508e+03 
       2.631178427602e-01       1.436278665176e+03 
       2.662724487571e-01       1.400559965746e+03 
       2.694270558288e-01       1.364169377374e+03 
       2.725816639377e-01       1.327783628647e+03 
       2.757362730480e-01       1.292111742324e+03 
       2.788908831256e-01       1.257789984367e+03 
       2.820454941378e-01       1.225334663663e+03 
       2.852001060534e-01       1.195092183838e+03 
       2.883547188426e-01       1.167218522711e+03 
       2.915093324769e-01       1.141710768176e+03 
       2.946639469291e-01       1.118426560997e+03 
       2.978185621729e-01       1.097110917142e+03 
       3.009731781834e-01       1.077433568427e+03 
       3.041277949366e-01       1.059012336378e+03 
       3.072824124094e-01       1.041440670838e+03 
       3.104370305799e-01       1.024328211978e+03 
       3.135916494269e-01       1.007325245607e+03 
       3.167462689301e-01       9.901569414540e+02 
       3.199008890700e-01       9.726505730319e+02 
       3.230555098277e-01       9.547363029773e+02 
       3.262101311854e-01       9.364431037075e+02 
       3.293647531256e-01       9.178742820157e+02 
       3.325193756318e-01       8.991852460529e+02 
       3.356739986879e-01       8.805656374958e+02 
       3.388286222785e-01       8.621993814594e+02 
       3.419832463887e-01       8.442794828604e+02 
       3.451378710042e-01       8.269774880549e+02 
       3.482924961112e-01       8.104309858388e+02 
       3.514471216964e-01       7.947352148905e+02 
       3.546017477469e-01       7.799298426752e+02 
       3.577563742506e-01       7.659896968245e+02 
       3.609110011953e-01       7.528574808927e+02 
       3.640656285696e-01       7.404182601970e+02 
       3.672202563624e-01       7.285387004648e+02 
       3.703748845629e-01       7.170871952429e+02 
       3.735295131607e-01       7.059447966374e+02 
       3.766841421459e-01       6.950034807441e+02 
       3.798387715087e-01       6.841759197108e+02 
       3.829934012397e-01       6.733953950665e+02 
       3.861480313300e-01       6.626188524676e+02 
       3.893026617707e-01       6.518265915937e+02 
       3.924572925534e-01       6.410290118827e+02 
       3.956119236698e-01       6.302573610121e+02 
       3.987665551120e-01       6.195643270280e+02 
       4.019211868723e-01       6.090102596737e+02 
       4.050758189432e-01       5.986537329918e+02 
       4.082304513175e-01       5.885465552369e+02 
       4.113850839882e-01       5.787245089746e+02 
       4.145397169485e-01       5.692136907385e+02 
       4.176943501919e-01       5.600284762430e+02 
       4.208489837118e-01       5.511745105040e+02 
       4.240036175022e-01       5.426490630775e+02 
       4.271582515569e-01       5.344384396248e+02 
       4.303128858703e-01       5.265189998941e+02 
       4.334675204366e-01       5.188553796074e+02 
       4.366221552503e-01       5.114057177036e+02 
       4.397767903060e-01       5.041275828544e+02 
       4.429314255986e-01       4.969807726679e+02 
       4.460860611231e-01       4.899352385883e+02 
       4.492406968745e-01       4.829701336127e+02 
       4.523953328481e-01       4.760721767016e+02 
       4.555499690392e-01       4.692361092526e+02 
       4.587046054433e-01       4.624604129898e+02 
       4.618592420561e-01       4.557480099235e+02 
       4.650138788733e-01       4.491088235385e+02 
       4.681685158907e-01       4.425575318703e+02 
       4.713231531043e-01       4.361130862317e+02 
       4.744777905103e-01       4.297975174393e+02 
       4.776324281046e-01       4.236294864303e+02 
       4.807870658838e-01       4.176217265425e+02 
       4.839417038440e-01       4.117797850167e+02 
       4.870963419819e-01       4.061005147404e+02 
       4.902509802938e-01       4.005773224937e+02 
       4.934056187766e-01       3.951990085646e+02 
       4.965602574269e-01       3.899548315413e+02 
       4.997148962416e-01       3.848339116878e+02 
       5.028695352175e-01       3.798226848213e+02 
       5.060241743516e-01       3.749088429634e+02 
       5.091788136410e-01       3.700773293231e+02 
       5.123334530828e-01       3.653157086978e+02 
       5.154880926742e-01       3.606143091355e+02 
       5.186427324125e-01       3.559680260566e+02 
       5.217973722949e-01       3.513776712684e+02 
       5.249520123188e-01       3.468462496114e+02 
       5.281066524819e-01       3.423796277034e+02 
       5.312612927814e-01       3.379810188607e+02 
       5.344159332151e-01       3.336554720853e+02 
       5.375705737805e-01       3.294030985430e+02 
       5.407252144753e-01       3.252259718126e+02 
       5.438798552974e-01       3.211264576248e+02 
       5.470344962444e-01       3.171067969506e+02 
       5.501891373142e-01       3.131695684417e+02 
       5.533437785047e-01       3.093152886277e+02 
       5.564984198139e-01       3.055421833455e+02 
       5.596530612397e-01       3.018461309870e+02 
       5.628077027802e-01       2.982209085125e+02 
       5.659623444335e-01       2.946614185515e+02 
       5.691169861976e-01       2.911629496794e+02 
       5.722716280707e-01       2.877223208110e+02 
       5.754262700511e-01       2.843383409237e+02 
       5.785809121369e-01       2.810077064689e+02 
       5.817355543265e-01       2.777285960784e+02 
       5.848901966182e-01       2.744963176154e+02 
       5.880448390103e-01       2.713089421084e+02 
       5.911994815012e-01       2.681633737441e+02 
       5.943541240893e-01       2.650605992804e+02 
       5.975087667732e-01       2.620014696538e+02 
       6.006634095512e-01       2.589895230204e+02 
       6.038180524219e-01       2.560255824181e+02 
       6.069726953838e-01       2.531114328932e+02 
       6.101273384356e-01       2.502456309219e+02 
       6.132819815758e-01       2.474275323363e+02 
       6.164366248031e-01       2.446554836514e+02 
       6.195912681162e-01       2.419295785880e+02 
       6.227459115136e-01       2.392493234901e+02 
       6.259005549943e-01       2.366153061182e+02 
       6.290551985568e-01       2.340261840006e+02 
       6.322098422000e-01       2.314801230652e+02 
       6.353644859227e-01       2.289741348623e+02 
       6.385191297237e-01       2.265050643020e+02 
       6.416737736018e-01       2.240713090797e+02 
       6.448284175559e-01       2.216712556690e+02 
       6.479830615849e-01       2.193046064290e+02 
       6.511377056877e-01       2.169725435140e+02 
       6.542923498632e-01       2.146744947600e+02 
       6.574469941104e-01       2.124096082381e+02 
       6.606016384282e-01       2.101764316604e+02 
       6.637562828157e-01       2.079735579164e+02 
       6.669109272718e-01       2.058007411199e+02 
       6.700655717956e-01       2.036578759579e+02 
       6.732202163861e-01       2.015461252845e+02 
       6.763748610424e-01       1.994661581988e+02 
       6.795295057635e-01       1.974181856061e+02 
       6.826841505487e-01       1.954017780603e+02 
       6.858387953968e-01       1.934146353730e+02 
       6.889934403073e-01       1.914563619550e+02 
       6.921480852790e-01       1.895253939264e+02 
       6.953027303113e-01       1.876219662521e+02 
       6.984573754033e-01       1.857454248421e+02 
       7.016120205542e-01       1.838964034979e+02 
       7.047666657632e-01       1.820745245304e+02 
       7.079213110295e-01       1.802781972656e+02 
       7.110759563523e-01       1.785060918370e+02 
       7.142306017310e-01       1.767568400000e+02 
       7.173852471647e-01       1.750298129582e+02 
       7.205398926528e-01       1.733252863598e+02 
       7.236945381945e-01       1.716429938988e+02 
       7.268491837892e-01       1.699843122861e+02 
       7.300038294361e-01       1.683485883485e+02 
       7.331584751345e-01       1.667348263067e+02 
       7.363131208839e-01       1.651426593949e+02 
       7.394677666835e-01       1.635705305400e+02 
       7.426224125327e-01       1.620185825062e+02 
       7.457770584309e-01       1.604866758295e+02 
       8.164864730490e-01       1.309019394905e+02 
       9.197385967762e-01       9.984478608767e+01 
       1.084887377763e+00       6.822835462448e+01 
       1.343291443719e+00       4.134348127352e+01 
       1.689521797387e+00       2.392107760988e+01 
