#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_rho_fld       23:rho_plus_p_theta_fld    24:delta_p_fld        
       1.029551932744e+00       2.225669390850e-06      -1.213620782943e+00       1.529094110390e-03       5.435392351672e-09       1.358848087918e-08       1.904720211902e-15       2.717696175836e-09      -9.102155872069e-01       1.529094110394e-03       5.989180141569e-01       6.968557129903e-01      -1.213620769817e+00       1.528740990471e-03       2.087230401487e-04      -9.102156075577e-01       1.529824057450e-03      -1.213628231203e+00       1.528750424107e-03       2.087243186244e-04       3.333333181253e-01      -1.219620279610e-08       2.052465829579e-11       1.158273354954e-08 
       1.035676085274e+00       2.238934424609e-06      -1.213503708097e+00       1.537988219633e-03       5.532367145621e-09       1.383091786405e-08       1.961881294870e-15       2.766183572811e-09      -9.101277810724e-01       1.537988219638e-03       5.989466138269e-01       6.968881122481e-01      -1.213503692062e+00       1.537628752046e-03       2.112265904248e-04      -9.101278059336e-01       1.538731260550e-03      -1.213511157735e+00       1.537638247293e-03       2.112278850493e-04       3.333333179435e-01      -1.218410576071e-08       2.062712795551e-11       1.157250994174e-08 
       1.041800237804e+00       2.252199763930e-06      -1.213390004597e+00       1.546884049671e-03       5.630496270448e-09       1.407624067612e-08       2.020409852128e-15       2.815248135224e-09      -9.100425034480e-01       1.546884049676e-03       5.989746515005e-01       6.969196868274e-01      -1.213389985601e+00       1.546518158361e-03       2.137446467080e-04      -9.100425329002e-01       1.547640340376e-03      -1.213397448265e+00       1.546527705983e-03       2.137459563004e-04       3.333333177606e-01      -1.217214074800e-08       2.072956053015e-11       1.156237699378e-08 
       1.047924390334e+00       2.265465410076e-06      -1.213279583681e+00       1.555781558766e-03       5.729786591812e-09       1.432446647953e-08       2.080330341284e-15       2.864893295906e-09      -9.099596877608e-01       1.555781558773e-03       5.990021408038e-01       6.969504589224e-01      -1.213279561671e+00       1.555409167237e-03       2.162772115305e-04      -9.099597218856e-01       1.556551256092e-03      -1.213287022205e+00       1.555418768320e-03       2.162785363214e-04       3.333333175766e-01      -1.216030494249e-08       2.083195546576e-11       1.155233296164e-08 
       1.054048542865e+00       2.278731363781e-06      -1.213172359535e+00       1.564680706242e-03       5.830244972183e-09       1.457561243046e-08       2.141667508905e-15       2.915122486091e-09      -9.098792696510e-01       1.564680706249e-03       5.990290947022e-01       6.969804499899e-01      -1.213172334457e+00       1.564301737554e-03       2.188242873556e-04      -9.098793085309e-01       1.565463967927e-03      -1.213179797806e+00       1.564311398443e-03       2.188256283144e-04       3.333333173915e-01      -1.214859561277e-08       2.093431223859e-11       1.154237616656e-08 
       1.066028154761e+00       2.304682121950e-06      -1.212971543982e+00       1.582093143596e-03       6.030157503703e-09       1.507539375926e-08       2.265842438756e-15       3.015078751852e-09      -9.097286579864e-01       1.582093143606e-03       5.990803172255e-01       6.970369367310e-01      -1.212971512747e+00       1.581701085019e-03       2.238486521293e-04      -9.097287064107e-01       1.582903398382e-03      -1.212978975405e+00       1.581710854943e-03       2.238500238554e-04       3.333333170264e-01      -1.212604633609e-08       2.113442274928e-11       1.152314561783e-08 
       1.078007766657e+00       2.330634053663e-06      -1.212782052478e+00       1.599511413005e-03       6.234617095828e-09       1.558654273957e-08       2.395724900728e-15       3.117308547914e-09      -9.095865393585e-01       1.599511413017e-03       5.991296250687e-01       6.970906620030e-01      -1.212782014874e+00       1.599105965129e-03       2.289285685364e-04      -9.095865976540e-01       1.600349274728e-03      -1.212789476351e+00       1.599115843428e-03       2.289299712622e-04       3.333333166571e-01      -1.210395194473e-08       2.133438195236e-11       1.150423129766e-08 
       1.089987378553e+00       2.356587158950e-06      -1.212603328508e+00       1.616935241801e-03       6.443675085521e-09       1.610918771380e-08       2.531509913932e-15       3.221837542760e-09      -9.094524963809e-01       1.616935241816e-03       5.991771019610e-01       6.971417649575e-01      -1.212603284319e+00       1.616516101901e-03       2.340640528861e-04      -9.094525648821e-01       1.617801331100e-03      -1.212610744316e+00       1.616526088152e-03       2.340654868744e-04       3.333333162836e-01      -1.208229450262e-08       2.153418679806e-11       1.148562236688e-08 
       1.101966990449e+00       2.382541437838e-06      -1.212434848915e+00       1.634364370010e-03       6.657382808151e-09       1.664345702038e-08       2.673396904755e-15       3.328691404075e-09      -9.093261366866e-01       1.634364370026e-03       5.992228272402e-01       6.971903764051e-01      -1.212434797920e+00       1.633931232045e-03       2.392551206164e-04      -9.093262157354e-01       1.635259314307e-03      -1.212442256302e+00       1.633941326029e-03       2.392565861581e-04       3.333333159060e-01      -1.206105706209e-08       2.173383457359e-11       1.146730861380e-08 
       1.113946602345e+00       2.408496890346e-06      -1.212276121765e+00       1.651798549658e-03       6.875791597625e-09       1.718947899406e-08       2.821589756558e-15       3.437895798813e-09      -9.092070913239e-01       1.651798549678e-03       5.992668760754e-01       6.972366193505e-01      -1.212276063737e+00       1.651351104272e-03       2.445017863334e-04      -9.092071812698e-01       1.652722983151e-03      -1.212283520476e+00       1.651361305910e-03       2.445032837386e-04       3.333333155242e-01      -1.204022360053e-08       2.193332288180e-11       1.144928040788e-08 
