# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_fld            15:(.)w_fld              16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_tot            19:(.)p_tot              20:(.)p_tot_prime        21:gr.fac. D             22:gr.fac. f          
       6.435804863501e+13       1.824838020301e-25       7.201379048638e-09       8.936584506963e+21       1.381093236025e+04       2.145952628020e-10       8.888446565361e+17       4.157867774614e-09       4.720527612930e+43       7.266633913474e+32       3.633316956737e+33       1.086215733400e+43       3.620719111333e+42       4.488289429074e-06      -9.500000000000e-01       2.179510918243e+43       7.986254265009e+43       7.986254265009e+43       2.662084754858e+43      -1.478599546198e+52       1.021424976113e-05       1.063028914828e+00 
       6.366996994847e+13       1.864493039661e-25       7.279595592991e-09       8.746516526093e+21       1.381093236025e+04       2.169143847788e-10       8.793416483378e+17       4.202801676732e-09       4.521865615026e+43       7.036045077259e+32       3.518022538630e+33       1.040502667945e+43       3.468342226483e+42       4.481058579900e-06      -9.500000000000e-01       2.087786850728e+43       7.650155134121e+43       7.650155134121e+43       2.550051711233e+43      -1.401230090276e+52       1.033096264746e-05       1.051019465467e+00 
       6.298924779757e+13       1.905009791141e-25       7.357812137343e-09       8.560491011035e+21       1.381093236025e+04       2.192585694092e-10       8.699402407556e+17       4.248221177661e-09       4.331564248103e+43       6.812773413207e+32       3.406386706603e+33       9.967134232272e+42       3.322378077424e+42       4.473839379970e-06      -9.500000000000e-01       1.999922963262e+43       7.328200635001e+43       7.328200635001e+43       2.442733544864e+43      -1.327909081903e+52       1.044767553380e-05       1.039278335603e+00 
       6.231580353053e+13       1.946406999578e-25       7.437847671099e-09       8.378421984500e+21       1.381093236025e+04       2.216280875442e-10       8.606393475351e+17       4.294131525201e-09       4.149271657499e+43       6.596586728773e+32       3.298293364386e+33       9.547670358246e+42       3.182556786082e+42       4.466631810517e-06      -9.500000000000e-01       1.915756801317e+43       7.019795495036e+43       7.019795495036e+43       2.339931831547e+43      -1.258424681313e+52       1.056438842014e-05       1.027796632232e+00 
       6.164955933647e+13       1.988703799362e-25       7.517883204855e-09       8.200225297809e+21       1.381093236025e+04       2.240232129621e-10       8.514378940355e+17       4.340538023963e-09       3.974650796248e+43       6.387260199476e+32       3.193630099738e+33       9.145859496361e+42       3.048619832120e+42       4.459435852804e-06      -9.500000000000e-01       1.835132747216e+43       6.724369493483e+43       6.724369493483e+43       2.241456497700e+43      -1.192576133501e+52       1.068110130648e-05       1.016565851072e+00 
       6.099043823641e+13       2.031919737614e-25       7.599737728015e-09       8.025818592001e+21       1.381093236025e+04       2.264442223996e-10       8.423348171053e+17       4.387446035774e-09       3.807378801907e+43       6.184576135088e+32       3.092288067544e+33       8.760958724861e+42       2.920319574954e+42       4.452251488123e-06      -9.500000000000e-01       1.757901732407e+43       6.441376407171e+43       6.441376407171e+43       2.147125468933e+43      -1.130173188205e+52       1.079781419283e-05       1.005577855502e+00 
       6.033836407438e+13       2.076074789611e-25       7.681592251174e-09       7.855121259768e+21       1.381093236025e+04       2.288913955842e-10       8.333290649597e+17       4.434860980527e-09       3.647146399602e+43       5.988323753249e+32       2.994161876624e+33       8.392256387633e+42       2.797418795878e+42       4.445078697797e-06      -9.500000000000e-01       1.683920961841e+43       6.170293000566e+43       6.170293000566e+43       2.056764333402e+43      -1.071035550233e+52       1.091452707917e-05       9.948248569614e-01 
       5.969326150864e+13       2.121189361390e-25       7.765265763737e-09       7.688054408201e+21       1.381093236025e+04       2.313650152665e-10       8.244195970588e+17       4.482788336568e-09       3.493657330200e+43       5.798298960259e+32       2.899149480130e+33       8.039070778395e+42       2.679690259465e+42       4.437917463181e-06      -9.500000000000e-01       1.613053649959e+43       5.910618058347e+43       5.910618058347e+43       1.970206019333e+43      -1.014992358546e+52       1.103123996551e-05       9.842993964798e-01 
       5.905505600295e+13       2.167284305084e-25       7.848939276300e-09       7.524540822329e+21       1.381093236025e+04       2.338653672526e-10       8.156053839878e+17       4.531233641544e-09       3.346627802545e+43       5.614304138834e+32       2.807152069417e+33       7.700748880275e+42       2.566916293425e+42       4.430767765656e-06      -9.500000000000e-01       1.545168767780e+43       5.661871458689e+43       5.661871458689e+43       1.887290486117e+43      -9.618816926140e+51       1.114795285185e-05       9.739943274741e-01 
       5.842367381797e+13       2.214380924331e-25       7.932612788863e-09       7.364504929426e+21       1.381093236025e+04       2.363927404375e-10       8.068854073376e+17       4.580202492889e-09       3.205785968747e+43       5.436147942589e+32       2.718073971294e+33       7.376665158420e+42       2.458888386140e+42       4.423629586636e-06      -9.500000000000e-01       1.480140800638e+43       5.423593285553e+43       5.423593285553e+43       1.807864428409e+43      -9.115501045849e+51       1.126466573820e-05       9.639027995305e-01 
       5.779904200274e+13       2.262500986185e-25       8.018105290830e-09       7.207872764088e+21       1.381093236025e+04       2.389474268380e-10       7.982586595873e+17       4.629700548543e-09       3.070871421555e+43       5.263645097048e+32       2.631822548524e+33       7.066220403425e+42       2.355406801142e+42       4.416502907564e-06      -9.500000000000e-01       1.417849516115e+43       5.195342978329e+43       5.195342978329e+43       1.731780992671e+43      -8.638521759476e+51       1.138137862454e-05       9.540182432347e-01 
       5.718108838624e+13       2.311666731378e-25       8.105416782200e-09       7.054571934048e+21       1.381093236025e+04       2.415297216269e-10       7.897241439881e+17       4.679733527616e-09       2.941634712878e+43       5.096616206969e+32       2.548308103485e+33       6.768840623433e+42       2.256280207811e+42       4.409387709913e-06      -9.500000000000e-01       1.358179741739e+43       4.976698517266e+43       4.976698517266e+43       1.658899505653e+43      -8.186500973847e+51       1.149809151089e-05       9.443343559130e-01 
       5.656974156908e+13       2.361900882299e-25       8.192728273571e-09       6.904531586714e+21       1.381093236025e+04       2.441399231670e-10       7.812808744476e+17       4.730307210968e-09       2.817836892574e+43       4.934887569777e+32       2.467443784889e+33       6.483975982865e+42       2.161325327622e+42       4.402283975187e-06      -9.500000000000e-01       1.301021152036e+43       4.767255643193e+43       4.767255643193e+43       1.589085214299e+43      -7.758132706128e+51       1.161480439724e-05       9.348450882117e-01 
       5.596493091520e+13       2.413226657589e-25       8.281858754344e-09       6.757682376423e+21       1.381093236025e+04       2.467783330454e-10       7.729278754162e+17       4.781427442015e-09       2.699249066647e+43       4.778290994923e+32       2.389145497462e+33       6.211099785807e+42       2.070366595269e+42       4.395191684917e-06      -9.500000000000e-01       1.246268064548e+43       4.566627110062e+43       4.566627110062e+43       1.522209036592e+43      -7.352179310573e+51       1.173151728359e-05       9.255446315273e-01 
       5.536658654378e+13       2.465667777280e-25       8.370989235118e-09       6.613956432396e+21       1.381093236025e+04       2.494452561083e-10       7.646641817743e+17       4.833100127217e-09       2.585651974035e+43       4.626663628974e+32       2.313331814487e+33       5.949707502188e+42       1.983235834063e+42       4.388110820667e-06      -9.500000000000e-01       1.193819244431e+43       4.374441968963e+43       4.374441968963e+43       1.458147322895e+43      -6.967467902697e+51       1.184823016995e-05       9.164274061088e-01 
